,Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
1,юр. лицо,получение средств,971.82,наличный,Брест,Белинвестбанк-CMHM-004,18-09-2004,01:28:22,успешно,нет,0.0
4,юр. лицо,получение средств,452.28,наличный,Могилев,БелАгропромбанк-OFMR-219,31-01-2023,12:35:14,успешно,нет,0.0
14,физ. лицо,списание средств,165.85,безналичный,Гродно,Приорбанк-WWZG-918,10-05-2020,10:44:06,неправильный ввод пин-кода,да,16.19
20,физ. лицо,получение средств,268.45,наличный,Гродно,МаксБанк-JWMI-472,19-05-2006,14:15:42,успешно,нет,0.0
26,физ. лицо,списание средств,146.36,наличный,Гродно,МаксБанк-HHVK-613,27-07-2005,15:24:12,неправильный ввод пин-кода,да,10.01
49,физ. лицо,списание средств,485.55,безналичный,Минск,МаксБанк-SUBT-804,31-08-2007,19:19:51,успешно,нет,0.0
54,физ. лицо,списание средств,880.82,безналичный,Могилев,МаксБанк-CAFW-178,10-07-2004,16:32:17,недостаточно средств,да,76.28
59,юр. лицо,списание средств,897.11,безналичный,Брест,Приорбанк-KYWL-359,29-09-2013,00:43:33,успешно,да,80.37
63,физ. лицо,получение средств,151.12,наличный,Могилев,МаксБанк-WDMS-486,18-06-2008,19:23:08,успешно,нет,0.0
74,физ. лицо,получение средств,992.91,безналичный,Витебск,Белинвестбанк-PUNR-667,15-11-2010,05:37:57,успешно,нет,0.0
88,юр. лицо,получение средств,724.47,наличный,Минск,МаксБанк-UZFZ-892,13-09-2021,04:32:19,успешно,нет,0.0
94,юр. лицо,списание средств,152.51,наличный,Витебск,БелАгропромбанк-SBBV-404,02-08-2001,23:52:20,недостаточно средств,нет,0.0
109,физ. лицо,списание средств,142.9,безналичный,Брест,Приорбанк-OHKF-998,12-01-2001,03:31:32,неправильный ввод пин-кода,да,5.27
115,юр. лицо,списание средств,323.54,наличный,Могилев,МаксБанк-UZAG-658,24-05-2016,13:21:19,недостаточно средств,нет,0.0
118,физ. лицо,списание средств,611.34,наличный,Минск,МаксБанк-OMQP-518,15-02-2010,01:11:26,успешно,да,27.18
120,юр. лицо,списание средств,553.16,наличный,Гомель,Беларусбанк-BCMB-142,19-04-2002,02:16:50,неправильный ввод пин-кода,нет,0.0
124,физ. лицо,списание средств,270.01,наличный,Гродно,Приорбанк-XWHD-538,20-06-2002,08:52:43,недостаточно средств,нет,0.0
127,физ. лицо,получение средств,333.52,наличный,Минск,БелАгропромбанк-EKXR-087,21-04-2008,18:39:38,успешно,нет,0.0
129,юр. лицо,получение средств,793.73,безналичный,Гомель,Приорбанк-VSJC-373,07-10-2018,20:43:07,успешно,нет,0.0
135,физ. лицо,получение средств,713.32,наличный,Гродно,МаксБанк-XQXD-772,27-06-2019,04:38:17,успешно,нет,0.0
138,физ. лицо,списание средств,267.71,безналичный,Брест,БелАгропромбанк-SWAS-476,20-05-2022,15:28:26,успешно,нет,0.0
139,юр. лицо,получение средств,837.57,безналичный,Брест,МаксБанк-KWAF-738,25-06-2003,03:15:23,успешно,нет,0.0
140,юр. лицо,получение средств,188.59,безналичный,Гродно,Беларусбанк-DIXL-177,16-03-2013,23:33:46,успешно,нет,0.0
143,физ. лицо,получение средств,121.72,наличный,Могилев,Приорбанк-MRJC-137,03-01-2020,00:43:40,успешно,нет,0.0
145,юр. лицо,получение средств,913.68,наличный,Гродно,БелАгропромбанк-NKCZ-269,22-09-2015,12:57:09,успешно,нет,0.0
155,юр. лицо,списание средств,836.99,наличный,Гомель,Приорбанк-RCVF-749,03-03-2019,12:21:56,успешно,нет,0.0
156,физ. лицо,списание средств,489.18,безналичный,Могилев,Беларусбанк-TDYC-223,04-07-2004,02:11:30,недостаточно средств,да,38.73
161,юр. лицо,получение средств,633.12,безналичный,Могилев,Белинвестбанк-WYZZ-045,25-02-2018,02:23:31,успешно,нет,0.0
162,юр. лицо,получение средств,751.09,наличный,Минск,БелАгропромбанк-HYDM-904,24-02-2008,07:44:17,успешно,нет,0.0
170,юр. лицо,списание средств,729.72,безналичный,Минск,БелАгропромбанк-JOTL-631,16-06-2007,03:29:48,неправильный ввод пин-кода,да,66.06
178,юр. лицо,получение средств,228.13,наличный,Витебск,БелАгропромбанк-ZLDI-039,10-01-2004,20:02:09,успешно,нет,0.0
183,физ. лицо,списание средств,998.24,наличный,Брест,БелАгропромбанк-BCLF-312,02-05-2024,18:27:59,недостаточно средств,нет,0.0
196,физ. лицо,получение средств,208.87,наличный,Гродно,Приорбанк-SCYB-005,09-06-2022,21:29:05,успешно,нет,0.0
201,физ. лицо,получение средств,58.16,наличный,Минск,Приорбанк-RRKV-222,12-05-2011,12:45:13,успешно,нет,0.0
203,физ. лицо,списание средств,144.0,безналичный,Минск,МаксБанк-BITM-994,30-10-2022,08:24:01,неправильный ввод пин-кода,нет,0.0
205,физ. лицо,списание средств,279.9,наличный,Гродно,Белинвестбанк-RZPR-319,13-01-2024,14:09:04,успешно,да,10.57
210,физ. лицо,списание средств,828.21,наличный,Гомель,Белинвестбанк-NHVR-597,27-04-2011,13:21:10,недостаточно средств,нет,0.0
221,физ. лицо,списание средств,755.57,наличный,Гродно,БелАгропромбанк-HNHU-574,07-07-2013,00:55:28,неправильный ввод пин-кода,да,41.35
223,юр. лицо,получение средств,823.21,наличный,Брест,Белинвестбанк-KAGH-875,28-11-2022,12:13:22,успешно,нет,0.0
225,юр. лицо,получение средств,549.79,безналичный,Брест,МаксБанк-YNDG-185,06-12-2008,01:28:16,успешно,нет,0.0
228,юр. лицо,списание средств,104.37,безналичный,Гродно,БелАгропромбанк-VZMB-203,25-09-2017,10:26:43,успешно,нет,0.0
234,физ. лицо,получение средств,106.99,безналичный,Гомель,Беларусбанк-XQSJ-233,25-10-2018,05:11:35,успешно,нет,0.0
237,физ. лицо,получение средств,35.06,наличный,Гомель,Беларусбанк-IAPW-004,03-09-2007,21:40:59,успешно,нет,0.0
238,юр. лицо,получение средств,909.58,безналичный,Витебск,Белинвестбанк-NAZC-024,15-11-2010,12:57:32,успешно,нет,0.0
240,юр. лицо,списание средств,804.28,безналичный,Брест,Приорбанк-SPPY-416,01-03-2010,01:12:40,неправильный ввод пин-кода,нет,0.0
242,юр. лицо,списание средств,668.47,наличный,Гомель,Белинвестбанк-VVOJ-473,01-07-2001,20:58:36,недостаточно средств,нет,0.0
249,юр. лицо,получение средств,664.44,наличный,Минск,Белинвестбанк-MBEJ-432,09-08-2020,14:14:32,успешно,нет,0.0
255,физ. лицо,списание средств,469.69,безналичный,Витебск,Белинвестбанк-IBZJ-880,02-09-2013,16:59:25,успешно,нет,0.0
260,юр. лицо,списание средств,223.07,безналичный,Гродно,БелАгропромбанк-KVKK-901,07-11-2010,22:06:37,неправильный ввод пин-кода,нет,0.0
263,юр. лицо,списание средств,13.48,наличный,Витебск,БелАгропромбанк-AJLK-838,26-09-2024,15:56:52,недостаточно средств,да,0.74
272,юр. лицо,списание средств,512.54,наличный,Минск,Белинвестбанк-LZIG-674,03-10-2017,23:12:45,недостаточно средств,да,38.21
274,физ. лицо,получение средств,464.12,наличный,Витебск,МаксБанк-QBYG-422,27-12-2024,02:24:16,успешно,нет,0.0
278,юр. лицо,списание средств,722.44,наличный,Гродно,Приорбанк-TURF-126,20-05-2002,21:12:30,недостаточно средств,да,23.35
279,юр. лицо,списание средств,560.65,наличный,Витебск,МаксБанк-ZBCK-676,01-08-2010,13:27:56,успешно,да,43.46
285,юр. лицо,получение средств,448.95,наличный,Гомель,Приорбанк-GZXB-059,18-01-2014,11:44:29,успешно,нет,0.0
293,юр. лицо,списание средств,35.6,безналичный,Гомель,МаксБанк-WZVX-655,05-03-2008,06:19:06,недостаточно средств,нет,0.0
295,физ. лицо,получение средств,766.91,наличный,Гродно,Беларусбанк-LJCD-432,18-05-2009,11:13:12,успешно,нет,0.0
300,физ. лицо,получение средств,574.78,наличный,Могилев,БелАгропромбанк-VGZP-839,20-07-2022,09:52:38,успешно,нет,0.0
309,юр. лицо,получение средств,805.25,безналичный,Гродно,Беларусбанк-DOMA-037,19-05-2001,18:45:52,успешно,нет,0.0
311,юр. лицо,получение средств,220.57,наличный,Минск,МаксБанк-DGAJ-598,04-10-2023,16:36:19,успешно,нет,0.0
313,физ. лицо,списание средств,580.82,наличный,Гомель,МаксБанк-DYTA-792,10-10-2015,09:44:25,недостаточно средств,да,27.1
